Year,Semester,Ungrad,Prof,Grad,Post-Doc,Total
2022,Spring,24482,632,4122,0,29236
2021,Fall,25808,636,4264,0,30708
2021,Summer,6202,159,2713,0,9074
2021,Spring,24482,621,4265,0,29368
2020,Fall,26846,627,4352,0,31825
2020,Summer,6841,151,2853,0,9845
2020,Spring,25884,599,4290,0,30773
2019,Fall,28294,599,4498,0,33391
2019,Summer,7612,141,3053,0,10806
2019,Spring,27127,595,4630,0,32352
2018,Fall,29621,597,4774,0,34992
2018,Summer,8049,155,3126,345,11675
2018,Spring,27656,593,4777,319,33345
2017,Fall,30406,596,4991,328,36321
2017,Summer,8385,150,3195,330,12060
2017,Spring,28334,586,4883,305,34108
2016,Fall,30671,586,5096,307,36660
2016,Summer,8107,154,3370,306,11937
2016,Spring,27868,583,4909,299,33659
2015,Fall,30034,584,5096,287,36001
2015,Summer,7866,159,3305,310,11640
2015,Spring,27021,593,4851,329,32794
2014,Fall,28893,592,4950,297,34732
2014,Summer,7839,173,3208,310,11530
2014,Spring,25751,586,4638,321,31296
2013,Fall,27659,586,4710,286,33241
2013,Summer,7611,167,3145,310,11233
2013,Spring,23983,586,4529,316,29414
2012,Fall,25553,588,4607,292,31040
2012,Summer,7216,188,3092,302,10798
2012,Spring,22744,588,4456,292,28080
2011,Fall,24343,587,4681,276,29887
2011,Summer,6790,212,3357,0,10359
2011,Spring,21395,583,4804,0,26782
2010,Fall,23104,587,4991,0,28682
2010,Summer,6319,189,3126,0,9634
2010,Spring,21033,561,4689,0,26283
2009,Fall,22521,564,4860,0,27945
2009,Summer,5859,140,3120,0,9119
2009,Spring,20172,526,4614,0,25312
2008,Fall,21607,531,4718,0,26856
2008,Summer,5712,124,3082,0,8918
2008,Spring,19368,487,4590,0,24445
2007,Fall,21004,492,4664,0,26160
2007,Summer,6124,119,3069,0,9312
2007,Spring,18847,437,4426,0,23710
2006,Fall,20440,439,4583,0,25462
2006,Summer,5916,119,3041,0,9076
2006,Spring,18932,432,4345,0,23709
2005,Fall,20732,431,4578,0,25741
2005,Summer,6171,116,3077,0,9364
2005,Spring,19585,406,4435,0,24426
2004,Fall,21354,408,4618,0,26380
2004,Summer,6562,98,3060,0,9720
2004,Spring,20361,403,4518,0,25282
2003,Fall,22230,409,4741,0,27380
2003,Summer,7075,0,2932,0,10007
2003,Spring,21056,400,4407,0,25863
2002,Fall,23399,0,4499,0,27898
2002,Summer,7075,0,2932,0,10007
2002,Spring,21693,0,4182,0,25875
2001,Fall,23460,0,4364,0,27824
2001,Summer,6815,0,3014,0,9829
2001,Spring,20889,0,4199,0,25088
2000,Fall,22481,0,4364,0,26845
2000,Summer,6198,0,3002,0,9200
2000,Spring,20251,0,4082,0,24333
1999,Fall,21901,0,4209,0,26110
1999,Summer,6033,0,2858,0,8891
1999,Spring,19825,0,4048,0,23873
1998,Fall,21427,0,4158,0,25585
